Id,SalePrice
1461,449832.240609523
1462,463789.9573849102
1463,469246.16381732706
1464,463943.72007971996
1465,505800.73553425743
1466,455002.4853928465
1467,481957.7769699686
1468,451722.3953501726
1469,455388.5973015177
1470,458601.8784544848
1471,475568.84360148007
1472,438850.95298076834
1473,445585.807068272
1474,455795.9238951153
1475,434315.0966280371
1476,479969.9753379229
1477,476767.8010173261
1478,481639.33202785236
1479,503679.3197985007
1480,497267.1967806562
1481,470950.4761286423
1482,470227.947334294
1483,457619.0708819151
1484,483748.4748444704
1485,451655.1456942919
1486,451781.84953682043
1487,486214.7083487658
1488,429908.3132254052
1489,480765.4908476304
1490,524442.1750262
1491,463373.8650761985
1492,417916.73739307915
1493,446317.2071414399
1494,457728.4388877667
1495,466570.49462887953
1496,516110.22082989506
1497,453761.6629484996
1498,504333.61476144823
1499,479258.0887472687
1500,478874.77316153434
1501,482095.4090175604
1502,475313.15761214297
1503,539044.2640078845
1504,473163.38240834797
1505,477185.0352572532
1506,482717.3393297181
1507,471872.93836648663
1508,484575.6424906004
1509,480060.5304496914
1510,479232.34189812717
1511,471235.7981740053
1512,500133.5191737273
1513,456737.78036408353
1514,463599.9420020728
1515,456881.23386877653
1516,462337.97741434904
1517,440111.9138411837
1518,428825.71638452937
1519,469562.0328684668
1520,451237.15463577025
1521,466631.3276262406
1522,499941.21075712313
1523,413442.9468358861
1524,449672.3968246567
1525,452214.33152837114
1526,459528.880132714
1527,436053.6717240464
1528,438051.52385958936
1529,475635.8416862012
1530,469024.7144641034
1531,444100.5850490413
1532,463098.60935890913
1533,465030.2149959421
1534,419736.80938719906
1535,455459.6414198639
1536,438144.65738759335
1537,424529.06928178057
1538,436157.28657423484
1539,447401.7029989207
1540,447677.2869556879
1541,453766.7356714288
1542,448007.7913881814
1543,456485.7770956538
1544,442743.03502644115
1545,445684.1870870327
1546,463182.63807279133
1547,471482.4090650202
1548,440336.67143339006
1549,450310.9111561169
1550,483400.43074498605
1551,454204.65205789707
1552,430384.5099898877
1553,437256.65318993985
1554,412263.3999611482
1555,470662.32572108693
1556,424490.3044198523
1557,466307.7391483436
1558,447137.22290470975
1559,459347.09989580023
1560,472160.70525396126
1561,485734.55901325
1562,451237.15463577025
1563,443384.29191212606
1564,483778.28594076564
1565,454532.8450568277
1566,463093.06516487984
1567,430528.59656989045
1568,491041.1147050443
1569,450418.88272927434
1570,470671.53237045265
1571,453477.1426619592
1572,458096.03968436166
1573,478121.60743156145
1574,461254.1187573722
1575,490084.65422787186
1576,466021.31598567136
1577,482353.1391862273
1578,450317.32799033594
1579,466220.32586282573
1580,484575.6424906004
1581,465228.1067414785
1582,485540.4964843225
1583,474740.7623814191
1584,451781.84953682043
1585,463178.7729678487
1586,375370.8959979041
1587,422161.88313714083
1588,457462.9188008492
1589,451860.9707146453
1590,478447.4747367548
1591,423373.1149779849
1592,454266.0593547777
1593,484549.79255261103
1594,370538.47087773244
1595,430343.1483314033
1596,459906.7812469105
1597,461531.3691694089
1598,454559.2714271451
1599,474840.9972332953
1600,495061.08884272375
1601,459972.45708297787
1602,491103.23985380307
1603,414662.44728335226
1604,520251.0389734791
1605,480109.1166758652
1606,480361.1170301271
1607,437550.60805640684
1608,476075.35773947963
1609,476584.7512788455
1610,429245.7899562816
1611,466078.15693384566
1612,471868.6364500163
1613,435210.7569630123
1614,468019.3607619049
1615,482602.23258701654
1616,431879.4278926714
1617,448597.20309049624
1618,462507.44840998744
1619,453358.53163485305
1620,422911.29294359626
1621,446710.10423678823
1622,455246.5809325638
1623,475606.3899737124
1624,471872.93836648663
1625,448993.69567234506
1626,470592.1474777848
1627,479560.10003724793
1628,467454.48748430744
1629,463943.72007971996
1630,526544.0953536114
1631,505919.48114761873
1632,490096.37601424305
1633,449028.37114513235
1634,480109.1166758652
1635,480109.1166758652
1636,454985.77986282477
1637,495607.42624678183
1638,444001.3805799476
1639,467965.3729286252
1640,471037.02044361475
1641,467996.18708157656
1642,481082.5446281983
1643,449134.65158069157
1644,476647.5392421381
1645,495478.1286060151
1646,470622.9616307361
1647,463363.96021395846
1648,457649.38853191654
1649,458330.45499966503
1650,452619.1130949006
1651,455654.5101953677
1652,448212.5816174316
1653,448212.5816174316
1654,455795.9238951153
1655,476084.5110714317
1656,484575.6424906004
1657,456121.67150902713
1658,456121.67150902713
1659,464760.40790535125
1660,477635.68195828557
1661,485272.74455594143
1662,529447.4338520645
1663,510981.5945231294
1664,491085.81506249605
1665,466287.7499341851
1666,493699.17057206563
1667,486574.6997261306
1668,502713.4905900258
1669,505953.30369529466
1670,496293.0382162782
1671,480906.08369770565
1672,502157.47944402596
1673,448741.9802048821
1674,452388.68030326866
1675,495808.77265130705
1676,487543.27819030476
1677,472854.72188345355
1678,494761.584116031
1679,488713.9717410952
1680,532781.9350420191
1681,466672.4688987526
1682,493699.17057206563
1683,452388.68030326866
1684,425979.5275238219
1685,470855.51702213805
1686,486452.8978817434
1687,431564.0568646257
1688,446479.40579921333
1689,451781.84953682043
1690,480109.1166758652
